POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;DRIVER_5;
1;50;Ferrari AF Corse;Antonio FUOCO;Miguel MOLINA;Nicklas NIELSEN;;Ferrari 499P;M;HYPERCAR;H;;Classified;17;1:01'43.515;;;3;3'29.311;234.4;;
2;6;Porsche Penske Motorsport;Kévin ESTRE;André LOTTERER;Laurens VANTHOOR;;Porsche 963;M;HYPERCAR;H;;Classified;17;1:01'44.820;1.305;1.305;3;3'29.566;234.1;;
3;51;Ferrari AF Corse;Alessandro PIER GUIDI;James CALADO;Antonio GIOVINAZZI;;Ferrari 499P;M;HYPERCAR;H;;Classified;17;1:01'47.643;4.128;2.823;3;3'29.635;234.0;;
4;3;Cadillac Racing;Sébastien BOURDAIS;Renger VAN DER ZANDE;Scott DIXON;;Cadillac V-Series.R;M;HYPERCAR;H;;Classified;17;1:01'49.985;6.470;2.342;5;3'30.386;233.2;;
5;8;Toyota Gazoo Racing;Sébastien BUEMI;Brendon HARTLEY;Ryo HIRAKAWA;;Toyota GR010 - Hybrid;M;HYPERCAR;H;;Classified;17;1:01'50.787;7.272;0.802;11;3'30.110;233.5;;
6;35;Alpine Endurance Team;Paul-Loup CHATIN;Ferdinand HABSBURG;Charles MILESI;;Alpine A424;M;HYPERCAR;H;;Classified;17;1:01'51.671;8.156;0.884;5;3'31.220;232.2;;
7;83;AF Corse;Robert KUBICA;Robert SHWARTZMAN;Yifei YE;;Ferrari 499P;M;HYPERCAR;H;;Classified;17;1:01'52.019;8.504;0.348;11;3'30.329;233.2;;
8;36;Alpine Endurance Team;Nicolas LAPIERRE;Mick SCHUMACHER;Matthieu VAXIVIERE;;Alpine A424;M;HYPERCAR;H;;Classified;17;1:01'52.456;8.941;0.437;4;3'30.852;232.6;;
9;5;Porsche Penske Motorsport;Matt CAMPBELL;Michael CHRISTENSEN;Frédéric MAKOWIECKI;;Porsche 963;M;HYPERCAR;H;;Classified;17;1:01'54.802;11.287;2.346;11;3'31.467;232.0;;
10;38;Hertz Team JOTA;Oliver RASMUSSEN;Philip HANSON;Jenson BUTTON;;Porsche 963;M;HYPERCAR;H;;Classified;17;1:01'56.395;12.880;1.593;3;3'31.505;231.9;;
11;311;Whelen Cadillac Racing;Luis Felipe DERANI;Jack AITKEN;Felipe DRUGOVICH;;Cadillac V-Series.R;M;HYPERCAR;H;;Classified;17;1:01'57.239;13.724;0.844;5;3'31.599;231.8;;
12;4;Porsche Penske Motorsport;Mathieu JAMINET;Felipe NASR;Nick TANDY;;Porsche 963;M;HYPERCAR;H;;Classified;17;1:01'58.725;15.210;1.486;7;3'31.145;232.3;;
13;2;Cadillac Racing;Earl BAMBER;Alex LYNN;Alex PALOU;;Cadillac V-Series.R;M;HYPERCAR;H;;Classified;17;1:02'00.352;16.837;1.627;5;3'31.323;232.1;;
14;93;Peugeot TotalEnergies;Jean-Eric VERGNE;Mikkel JENSEN;Nico MÜLLER;;Peugeot 9X8;M;HYPERCAR;H;;Classified;17;1:02'02.637;19.122;2.285;6;3'32.574;230.8;;
15;12;Hertz Team JOTA;Will STEVENS;Norman NATO;Callum ILOTT;;Porsche 963;M;HYPERCAR;H;;Classified;17;1:02'03.373;19.858;0.736;3;3'32.372;231.0;;
16;94;Peugeot TotalEnergies;Stoffel VANDOORNE;Paul DI RESTA;Loïc DUVAL;;Peugeot 9X8;M;HYPERCAR;H;;Classified;17;1:02'04.468;20.953;1.095;4;3'32.193;231.2;;
17;7;Toyota Gazoo Racing;Jose Maria LOPEZ;Kamui KOBAYASHI;Nyck DE VRIES;;Toyota GR010 - Hybrid;M;HYPERCAR;H;;Classified;17;1:02'04.715;21.200;0.247;7;3'31.253;232.2;;
18;19;Lamborghini Iron Lynx;Romain GROSJEAN;Andrea CALDARELLI;Matteo CAIROLI;;Lamborghini SC63;M;HYPERCAR;H;;Classified;17;1:02'06.617;23.102;1.902;7;3'31.709;231.7;;
19;63;Lamborghini Iron Lynx;Mirko BORTOLOTTI;Daniil KVYAT;Edoardo MORTARA;;Lamborghini SC63;M;HYPERCAR;H;;Classified;17;1:02'07.627;24.112;1.010;5;3'31.801;231.6;;
20;20;BMW M Team WRT;Sheldon VAN DER LINDE;Robin FRIJNS;René RAST;;BMW M HYBRID V8;M;HYPERCAR;H;;Classified;17;1:02'16.346;32.831;8.719;4;3'32.332;231.0;;
21;11;Isotta Fraschini;Carl Wattana BENNETT;Jean-Karl VERNAY;Antonio SERRAVALLE;;Isotta Fraschini Tipo6-C;M;HYPERCAR;H;;Classified;17;1:03'06.511;1'22.996;50.165;4;3'33.165;230.1;;
22;9;Proton Competition;Jonas RIED;Maceo CAPIETTO;Bent VISCAAL;;Oreca 07 - Gibson;G;LMP2;;;Classified;17;1:04'33.932;2'50.417;1'27.421;7;3'39.515;223.5;;
23;15;BMW M Team WRT;Dries VANTHOOR;Raffaele MARCIELLO;Marco WITTMANN;;BMW M HYBRID V8;M;HYPERCAR;H;;Classified;17;1:04'35.996;2'52.481;2.064;5;3'31.261;232.2;;
24;65;Panis Racing;Rodrigo SALES;Mathias BECHE;Scott HUFFAKER;;Oreca 07 - Gibson;G;LMP2;P/A;;Classified;17;1:04'42.054;2'58.539;6.058;3;3'38.517;224.5;;
25;22;United Autosports;Oliver JARVIS;Bijoy GARG;Nolan SIEGEL;;Oreca 07 - Gibson;G;LMP2;;;Classified;17;1:04'43.051;2'59.536;0.997;3;3'39.147;223.8;;
26;37;COOL Racing;Lorenzo FLUXA;Malthe JAKOBSEN;Ritomo MIYATA;;Oreca 07 - Gibson;G;LMP2;;;Classified;17;1:04'43.250;2'59.735;0.199;3;3'39.192;223.8;;
27;28;IDEC Sport;Paul LAFARGUE;Job VAN UITERT;Reshad DE GÉRUS;;Oreca 07 - Gibson;G;LMP2;;;Classified;17;1:04'45.122;3'01.607;1.872;3;3'38.890;224.1;;
28;10;Vector Sport;Ryan CULLEN;Patrick PILET;Stéphane RICHELMI;;Oreca 07 - Gibson;G;LMP2;;;Classified;17;1:04'45.596;3'02.081;0.474;3;3'39.240;223.7;;
29;24;Nielsen Racing;Fabio SCHERER;David HEINEMEIER HANSSON;Kyffin SIMPSON;;Oreca 07 - Gibson;G;LMP2;;;Classified;17;1:05'08.461;3'24.946;22.865;3;3'39.004;224.0;;
30;34;Inter Europol Competition;Jakub SMIECHOWSKI;Vladislav LOMKO;Clément NOVALAK;;Oreca 07 - Gibson;G;LMP2;;;Classified;17;1:05'09.019;3'25.504;0.558;3;3'39.309;223.7;;
31;30;Duqueine Team;John FALB;James ALLEN;Jean-Baptiste SIMMENAUER;;Oreca 07 - Gibson;G;LMP2;P/A;;Classified;16;1:01'51.577;1 Laps;1 Laps;8;3'39.099;223.9;;
32;14;AO by TF;PJ HYETT;Louis DELÉTRAZ;Alex QUINN;;Oreca 07 - Gibson;G;LMP2;P/A;;Classified;16;1:01'53.580;1 Laps;2.003;2;3'38.316;224.7;;
33;183;AF Corse;François PERRODO;Ben BARNICOAT;Nicolas VARRONE;;Oreca 07 - Gibson;G;LMP2;P/A;;Classified;16;1:02'00.224;1 Laps;6.644;3;3'39.352;223.6;;
34;45;Crowdstrike Racing by APR;George KURTZ;Colin BRAUN;Nicky CATSBURG;;Oreca 07 - Gibson;G;LMP2;P/A;;Classified;16;1:02'33.456;1 Laps;33.232;4;3'39.795;223.2;;
35;33;DKR Engineering;Alexander MATTSCHULL;René BINDER;Laurents HÖRR;;Oreca 07 - Gibson;G;LMP2;P/A;;Classified;16;1:02'35.588;1 Laps;2.132;9;3'41.109;221.9;;
36;23;United Autosports USA;Ben KEATING;Filipe ALBUQUERQUE;Benjamin HANLEY;;Oreca 07 - Gibson;G;LMP2;P/A;;Classified;16;1:04'42.891;1 Laps;2'07.303;3;3'39.039;223.9;;
37;99;Proton Competition;Neel JANI;Harry TINCKNELL;Julien ANDLAUER;;Porsche 963;M;HYPERCAR;H;;Classified;15;1:01'31.601;2 Laps;1 Laps;4;3'31.471;232.0;;
38;70;Inception Racing;Brendan IRIBE;Ollie MILLROY;Frederik SCHANDORFF;;McLaren 720S LMGT3 Evo;G;LMGT3;;;Classified;15;1:01'50.785;2 Laps;19.184;2;3'58.209;205.9;;
39;77;Proton Competition;Ryan HARDWICK;Zacharie ROBICHON;Benjamin BARKER;;Ford Mustang LMGT3;G;LMGT3;;;Classified;15;1:01'53.225;2 Laps;2.440;2;3'57.562;206.5;;
40;66;JMW Motorsport;Giacomo PETROBELLI;Larry TEN VOORDE;Salih YOLUC;;Ferrari 296 LMGT3;G;LMGT3;;;Classified;15;1:01'56.355;2 Laps;3.130;2;3'58.162;206.0;;
41;88;Proton Competition;Giorgio RODA;Mikkel PEDERSEN;Dennis OLSEN;;Ford Mustang LMGT3;G;LMGT3;;;Classified;15;1:02'09.750;2 Laps;13.395;4;3'59.224;205.1;;
42;59;United Autosports;James COTTINGHAM;Nicolas COSTA;Grégoire SAUCY;;McLaren 720S LMGT3 Evo;G;LMGT3;;;Classified;15;1:02'12.941;2 Laps;3.191;4;4'00.021;204.4;;
